location,date,total_cases,new_cases,total_deaths,new_deaths
World,2020-01-05,2.0,2.0,3.0,3.0
World,2020-01-12,47.0,45.0,4.0,1.0
World,2020-01-19,137.0,90.0,6.0,2.0
World,2020-01-26,2032.0,1896.0,62.0,56.0
World,2020-02-02,14570.0,12538.0,372.0,310.0
World,2020-02-09,37629.0,23059.0,917.0,545.0
World,2020-02-16,69363.0,31734.0,1781.0,864.0
World,2020-02-23,78941.0,9578.0,2473.0,692.0
World,2020-03-01,87214.0,8273.0,2992.0,519.0
World,2020-03-08,107420.0,20206.0,3642.0,650.0
World,2020-03-15,167866.0,60446.0,6296.0,2654.0
World,2020-03-22,339186.0,171320.0,15994.0,9698.0
World,2020-03-29,690664.0,351479.0,38280.0,22286.0
World,2020-04-05,1156926.0,466289.0,75127.0,36847.0
World,2020-04-12,1681285.0,524359.0,122801.0,47674.0
World,2020-04-19,2188291.0,507006.0,172760.0,49959.0
World,2020-04-26,2728559.0,540268.0,217169.0,44409.0
World,2020-05-03,3274197.0,545638.0,258299.0,41130.0
World,2020-05-10,3855730.0,581533.0,297222.0,38923.0
World,2020-05-17,4466320.0,610590.0,333387.0,36165.0
World,2020-05-24,5163036.0,696716.0,368135.0,34748.0
World,2020-05-31,5892039.0,729003.0,401503.0,33368.0
World,2020-06-07,6736701.0,844663.0,436385.0,34882.0
World,2020-06-14,7639351.0,902650.0,471661.0,35276.0
World,2020-06-21,8670763.0,1031412.0,509110.0,37449.0
World,2020-06-28,9828880.0,1158117.0,545839.0,36729.0
World,2020-07-05,11157527.0,1328647.0,582207.0,36368.0
World,2020-07-12,12586577.0,1429050.0,621002.0,38795.0
World,2020-07-19,14160732.0,1574155.0,663561.0,42559.0
World,2020-07-26,15903603.0,1742871.0,708345.0,44784.0
World,2020-08-02,17742839.0,1839236.0,753170.0,44825.0
World,2020-08-09,19581503.0,1838664.0,798859.0,45689.0
World,2020-08-16,21466779.0,1885276.0,843547.0,44688.0
World,2020-08-23,23290301.0,1823522.0,886258.0,42711.0
World,2020-08-30,25165529.0,1875228.0,927721.0,41466.0
World,2020-09-06,27150575.0,1985046.0,967721.0,40000.0
World,2020-09-13,29106967.0,1957986.0,1010963.0,43242.0
World,2020-09-20,31202990.0,2096023.0,1050005.0,39042.0
World,2020-09-27,33307020.0,2104030.0,1087723.0,37718.0
World,2020-10-04,35440144.0,2133124.0,1125294.0,37571.0
World,2020-10-11,37805306.0,2365164.0,1163420.0,38126.0
World,2020-10-18,40403582.0,2598276.0,1201507.0,38087.0
World,2020-10-25,43494480.0,3090898.0,1244522.0,43015.0
World,2020-11-01,47021121.0,3526641.0,1294020.0,49499.0
World,2020-11-08,50878709.0,3857588.0,1353071.0,59051.0
World,2020-11-15,54927956.0,4049247.0,1418493.0,65422.0
World,2020-11-22,59038769.0,4110813.0,1491968.0,73535.0
World,2020-11-29,63060916.0,4022147.0,1568145.0,76177.0
World,2020-12-06,67261755.0,4200839.0,1647590.0,79445.0
World,2020-12-13,71656236.0,4394481.0,1730052.0,82462.0
World,2020-12-20,76198668.0,4542432.0,1815742.0,85690.0
World,2020-12-27,80316790.0,4118122.0,1897533.0,81791.0
World,2021-01-03,84563431.0,4246641.0,1983832.0,86299.0
World,2021-01-10,89571049.0,5007618.0,2076183.0,92351.0
World,2021-01-17,94424368.0,4853319.0,2177153.0,100970.0
World,2021-01-24,98651492.0,4227124.0,2280872.0,103719.0
World,2021-01-31,102387423.0,3735931.0,2381533.0,100661.0
World,2021-02-07,105552902.0,3165479.0,2470825.0,89292.0
World,2021-02-14,108273716.0,2720814.0,2552321.0,81496.0
World,2021-02-21,110747980.0,2474264.0,2620757.0,68436.0
World,2021-02-28,113409456.0,2661476.0,2684763.0,64006.0
World,2021-03-07,116147027.0,2737571.0,2745246.0,60483.0
World,2021-03-14,119110270.0,2963243.0,2805933.0,60687.0
World,2021-03-21,122438591.0,3328321.0,2869116.0,63183.0
World,2021-03-28,126271101.0,3832510.0,2938202.0,69086.0
World,2021-04-04,130384976.0,4113875.0,3013637.0,75435.0
World,2021-04-11,134944050.0,4559074.0,3094016.0,80379.0
